selling_price,year,seller_type,km_driven,fuel_type,transmission_type,mileage,engine,max_power,seats,Company
495000,2010,0,82000,0,0,12.8,2354.0,177.6,5.0,Honda
335000,2010,0,86000,0,0,17.0,1497.0,118.0,5.0,Honda
4675000,2020,0,19000,1,1,17.01,1968.0,188.0,5.0,Audi
1290000,2013,0,78000,1,1,16.55,1968.0,147.51,5.0,Audi
300000,2011,1,60000,1,0,20.0,1399.0,68.0,5.0,Ford
550000,2019,Trustmark Dealer,7883,0,1,21.5,1197.0,81.8,5.0,Maruti
390000,2013,Trustmark Dealer,50205,1,0,23.4,1248.0,74.0,5.0,Maruti
260000,2008,1,220000,1,0,13.6,2523.0,63.0,7.0,Mahindra
395000,2017,0,58000,1,0,24.7,1047.0,69.0,5.0,Tata
550000,2012,1,170000,1,0,12.05,2179.0,120.0,8.0,Mahindra
650000,2018,1,15000,0,0,22.0,1197.0,81.8,5.0,Maruti
375000,2016,0,71245,1,0,28.4,1248.0,74.0,5.0,Maruti
300000,2012,1,20000,1,0,21.12,1248.0,88.8,5.0,Tata
450000,2016,0,52000,0,0,16.78,1496.0,88.73,5.0,Toyota
335000,2015,1,61000,0,0,19.4,1198.0,86.8,5.0,Honda
1300000,2019,1,7000,0,0,16.1,1353.0,138.0,5.0,others
360000,2018,1,20000,0,0,23.95,998.0,67.05,5.0,Maruti
505000,2020,1,8700,0,0,21.63,998.0,67.04,5.0,Maruti
310000,2019,1,25000,0,0,24.7,796.0,47.3,5.0,Maruti
545000,2015,0,42000,0,0,18.6,1197.0,81.86,5.0,Hyundai
300000,2009,1,120000,1,0,14.0,2498.0,112.0,7.0,Mahindra
200000,2009,1,60000,0,0,14.4,1399.0,94.0,5.0,Chevrolet
150000,2006,1,120000,1,0,13.6,2523.0,63.0,7.0,Mahindra
580000,2018,1,50000,0,0,21.4,1197.0,83.1,5.0,Maruti
250000,2011,1,58000,0,0,18.9,998.0,67.1,5.0,Maruti
650000,2017,1,36000,0,0,17.43,1396.0,105.5,5.0,Hyundai
800000,2016,1,80000,1,0,23.65,1248.0,88.5,5.0,Maruti
1475000,2013,0,71000,1,1,15.73,1968.0,174.33,5.0,Audi
409999,2018,1,30000,1,0,25.47,1248.0,88.5,7.0,Maruti
531000,2015,0,162828,1,0,22.77,1498.0,98.59,5.0,Ford
890000,2018,1,7500,1,0,23.0,1498.0,98.96,5.0,Ford
775000,2016,0,47227,1,0,14.0,2179.0,138.1,7.0,Tata
434999,2018,0,52000,2,0,33.54,998.0,67.04,5.0,Maruti
185000,2012,0,74000,1,0,20.0,1399.0,68.05,5.0,Ford
440000,2011,0,47000,1,0,15.96,2523.0,62.1,7.0,Mahindra
450000,2015,1,50000,0,0,18.6,1197.0,81.83,5.0,Hyundai
600000,2017,1,100000,0,0,21.4,1197.0,83.1,5.0,Maruti
320000,2014,1,35000,0,0,23.1,998.0,67.04,5.0,Maruti
700000,2016,1,50000,1,0,21.19,1396.0,88.73,5.0,Hyundai
630000,2018,1,10000,0,0,18.16,1196.0,86.8,5.0,Ford
320000,2016,1,10370,0,0,22.74,796.0,47.3,5.0,Maruti
465000,2013,0,62000,0,0,16.8,1497.0,116.3,5.0,Honda
275000,2011,1,70000,1,0,21.12,1248.0,88.8,5.0,Tata
370000,2013,1,250000,1,0,21.64,1461.0,84.8,5.0,Nissan
550000,2016,1,40000,0,0,18.6,1197.0,81.83,5.0,Hyundai
445000,2017,1,60000,0,0,22.0,1197.0,81.8,5.0,Maruti
705000,2013,0,67231,1,0,14.0,2179.0,138.1,7.0,Tata
270000,2013,0,64000,2,0,33.54,998.0,67.04,5.0,Maruti
420000,2012,0,142587,1,0,23.08,1461.0,63.1,5.0,Nissan
475000,2014,0,63000,1,0,26.0,1498.0,98.6,5.0,Honda
1755000,2015,1,80000,1,0,12.55,2982.0,168.5,7.0,Toyota
350000,2011,0,55000,0,0,16.9,1497.0,100.0,5.0,Honda
575000,2016,0,11000,0,0,18.6,1197.0,81.83,5.0,Hyundai
466000,2016,0,66000,1,0,23.59,1364.0,67.06,5.0,Toyota
360000,2017,1,17000,0,0,23.01,999.0,67.0,5.0,Renault
275000,2017,1,25000,0,0,24.7,796.0,47.3,5.0,Maruti
320000,2016,1,33350,0,0,19.44,1198.0,67.0,7.0,others
95000,2000,1,45000,0,0,14.0,796.0,35.0,5.0,Maruti
370000,2015,0,62000,0,0,18.9,1197.0,82.0,5.0,Hyundai
250000,2013,1,30000,0,0,19.4,1198.0,86.8,5.0,Honda
275000,2009,1,59000,0,0,17.5,1298.0,85.8,5.0,Maruti
1950000,2015,0,20000,0,1,12.33,1991.0,375.48,5.0,Mercedes-Benz
550000,2014,0,86113,0,0,17.4,1497.0,117.3,5.0,Honda
1325000,2016,0,45000,1,0,21.43,1364.0,87.2,5.0,Toyota
750000,2018,1,10000,1,0,28.4,1248.0,74.02,5.0,Maruti
290000,2011,0,70000,0,0,18.06,1198.0,75.0,5.0,Nissan
272000,2015,1,92537,0,0,20.51,998.0,67.04,5.0,Maruti
951000,2019,0,27645,1,0,28.09,1248.0,88.5,5.0,Maruti
280000,2013,1,46242,0,0,20.92,998.0,67.1,5.0,Maruti
545000,2013,1,70000,0,0,16.8,1497.0,116.3,5.0,Honda
